title,url,discounted_price,original_price
Authentic IJOY Captain Link Mod - Black,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-black-p-20713.html,,$36.34
Authentic Uwell Whirl S Pen Kit - Iridescent,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-iridescent-p-20636.html,,$38.21
Authentic IJOY Captain Link Mod - Blue,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-blue-p-20712.html,,$36.34
Authentic IJOY Captain Link Mod - Red,https://www.cigabuy.com/authentic-ijoy-captain-link-mod-red-p-20710.html,,$36.34
Authentic IJOY Captain Link Kit - Black,https://www.cigabuy.com/authentic-ijoy-captain-link-kit-black-p-20704.html,,$53.04
Authentic IJOY Captain Link Kit - SS,https://www.cigabuy.com/authentic-ijoy-captain-link-kit-ss-p-20708.html,,$53.04
Authentic IJOY Captain Link Kit - Red,https://www.cigabuy.com/authentic-ijoy-captain-link-kit-red-p-20707.html,,$53.04
Authentic IJOY Captain Link Kit - Green,https://www.cigabuy.com/authentic-ijoy-captain-link-kit-green-p-20706.html,,$53.04
Authentic IJOY Captain Link Kit - Blue,https://www.cigabuy.com/authentic-ijoy-captain-link-kit-blue-p-20705.html,,$53.04
Authentic Uwell Caliburn G POD kit - Green,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-green-p-19939.html,,$32.00
Authentic Wotofo The Troll X RTA - Black,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-black-p-20659.html,,$37.28
Authentic Geekvape Wenax K1 Pod Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-wenax-k1-pod-kit-gunmetal-p-20596.html,,$24.55
Authentic Geekvape TALO X 24mm BF RDA - Blue,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-blue-p-20207.html,,$25.48
Authentic Wotofo The Troll X RTA - Black,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-black-p-20654.html,,$37.28
Authentic VOZOL WHIZ 40W Pod Kit - Black,https://www.cigabuy.com/authentic-vozol-whiz-40w-pod-kit-black-p-20026.html,$20.60,$26.70 
Authentic Wotofo The Troll X RTA - Rainbow,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-rainbow-p-20658.html,,$37.28
Authentic Wotofo The Troll X RTA - Gold,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-gold-p-20657.html,,$37.28
Authentic Vandyvape Requiem RDA - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-gunmetal-p-20050.html,,$35.20
Authentic Steam Crave Aromamizer Titan V2 RDTA - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-titan-v2-rdta-gunmetal-p-20603.html,,$78.58
Authentic Geekvape Aegis Boost Pro Kit - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-gunmetal-p-20327.html,,$48.06
Authentic Uwell Whirl II Kit - Black,https://www.cigabuy.com/authentic-uwell-whirl-ii-kit-black-p-20278.html,,$69.73
Authentic Vandyvape Requiem RDA - Stainless Steel,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-stainless-steel-p-20048.html,,$33.07
Authentic Uwell Valyrian II PRO Tank - Black & Red,https://www.cigabuy.com/authentic-uwell-valyrian-ii-pro-tank-black-red-p-20599.html,,$48.81
Authentic Geekvape Zeus Nano Tank - Rainbow,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-rainbow-p-20002.html,,$26.67
Authentic Geekvape Aegis Boost Pro Kit - Almighty Blue,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-almighty-blue-p-20329.html,,$48.06
Authentic Geekvape Wenax C1 Kit - Black,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-black-p-20493.html,,$22.79
Authentic Geekvape Wenax C1 Kit - Blue,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-blue-p-20495.html,,$22.79
Authentic Geekvape Wenax C1 Kit - Grey,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-grey-p-20494.html,,$22.79
Authentic Geekvape Wenax C1 Kit - White,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-white-p-20496.html,,$22.79
4 x Authentic OFRF M22 nexMESH Coil 0.6ohm,https://www.cigabuy.com/4-x-authentic-ofrf-m22-nexmesh-coil-06ohm-p-20305.html,,$17.98
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Matte Black,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-matte-black-p-19966.html,,$41.60
Authentic Geekvape Aegis Solo 100W TC Box Mod - Gunmetal,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-gunmetal-p-14358.html,,$46.44
Authentic Dovpo Topside Dual 200W Squonker Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-topside-dual-200w-squonker-box-mod-gunmetal-p-14041.html,,$92.97
Authentic Uwell Caliburn KOKO Prime Kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-grey-p-20248.html,,$33.54
Authentic IJOY Aria Pro Kit - Camo,https://www.cigabuy.com/authentic-ijoy-aria-pro-kit-camo-p-20446.html,,$30.84
Authentic Vandyvape Jackaroo Dual 188W Box Mod - G10 Obsidian Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-dual-188w-box-mod-g10-obsidian-black-p-20242.html,,$70.09
Authentic IJOY Aria Pro Kit - Rainbow Phoenix,https://www.cigabuy.com/authentic-ijoy-aria-pro-kit-rainbow-phoenix-p-20445.html,,$30.84
Authentic Lost Vape Ursa Quest Multi Kit - Black Ukiran Leather,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-black-ukiran-leather-p-20478.html,,$50.74
Authentic IJOY Aria Pro Kit - Black Dragon,https://www.cigabuy.com/authentic-ijoy-aria-pro-kit-black-dragon-p-20444.html,,$30.84
Authentic Thunderhead Creations THC Tauren MTL RTA 2ml - Silver Black,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-mtl-rta-2ml-silver-black-p-20500.html,,$42.55
Authentic Thunderhead Creations THC Tauren MTL RTA 2ml - Full Black,https://www.cigabuy.com/authentic-thunderhead-creations-thc-tauren-mtl-rta-2ml-full-black-p-20499.html,,$41.18
Authentic Lost Vape Ursa Quest Multi Kit - Black Crocodile Leather,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-black-crocodile-leather-p-20477.html,,$50.74
Authentic OFRF NEXMINI Pod Kit - Black,https://www.cigabuy.com/authentic-ofrf-nexmini-pod-kit-black-p-20301.html,$12.58,$33.00 
Authentic Geekvape Zeus Nano Tank - Blue,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-blue-p-19998.html,,$26.67
Authentic OFRF NEXMINI Pod Kit - Silver,https://www.cigabuy.com/authentic-ofrf-nexmini-pod-kit-silver-p-20302.html,,$33.00
Authentic Lost Vape Ursa Quest Multi Kit - Black Red Sandal Wood,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-black-red-sandal-wood-p-20474.html,,$50.74
Authentic Uwell Tripod PCC Pod Kit 370mAh + 1000mAh - Black,https://www.cigabuy.com/authentic-uwell-tripod-pcc-pod-kit-370mah-1000mah-black-p-20356.html,,$37.48
Authentic Lost Vape Ursa Quest Multi Kit - SS Purple-Heart Wood,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-ss-purple-heart-wood-p-20472.html,,$50.74
Authentic Wotofo Profile M RTA - Rainbow,https://www.cigabuy.com/authentic-wotofo-profile-rta-rainbow-p-20470.html,,$37.76
Authentic Lost Vape Ursa Quest Multi Kit - SS Crocodile Leather,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-ss-crocodile-leather-p-20475.html,,$50.74
Authentic Lost Vape Ursa Quest Multi Kit - Gunmetal Crocodile Leather,https://www.cigabuy.com/authentic-lost-vape-ursa-quest-multi-kit-gunmetal-crocodile-leather-p-20476.html,,$50.74
Authentic Ehpro Cold Steel 100 120W TC Box Mod - Black Obsidian,https://www.cigabuy.com/authentic-ehpro-cold-steel-100-120w-tc-box-mod-black-obsidian-p-15781.html,,$62.74
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-stainless-steel-p-19979.html,,$74.68
Authentic Uwell Whirl II Kit - Red,https://www.cigabuy.com/authentic-uwell-whirl-ii-kit-red-p-20279.html,,$69.73
1 x Authentic OFRF NEXMINI Empty Pod Cartridge,https://www.cigabuy.com/1-x-authentic-ofrf-nexmini-empty-pod-cartridge-p-20304.html,,$3.95
Authentic Uwell Whirl II Kit - Silver,https://www.cigabuy.com/authentic-uwell-whirl-ii-kit-silver-p-20276.html,,$69.73
Authentic Uwell Whirl II Kit - Blue,https://www.cigabuy.com/authentic-uwell-whirl-ii-kit-blue-p-20277.html,,$69.73
4 x Authentic OFRF M21 Parallel Coil 0.6ohm,https://www.cigabuy.com/4-x-authentic-ofrf-m21-parallel-coil-06ohm-p-20306.html,,$17.98
Authentic Geekvape TALO X 24mm BF RDA - Silver,https://www.cigabuy.com/authentic-geekvape-talo-x-24mm-bf-rda-silver-p-20205.html,,$25.48
Authentic Vandyvape Pulse V2 Refill Bottle 7ml - Black,https://www.cigabuy.com/authentic-vandyvape-pulse-v2-refill-bottle-7ml-black-p-20241.html,,$8.50
