rating,title,year,duration,genre,release,url
8.6,Parasite ,2019,2h 12min,"Comedy, Drama, Thriller",8 November 2019 (USA),https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt
8.8,"The Good, the Bad and the Ugly ",1966,2h 58min,"Western, ",29 December 1967 (USA),https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt
8.7,The Matrix ,1999,2h 16min,"Action, Sci-Fi",31 March 1999 (USA),https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt
8.8,Inception ,2010,2h 28min,"Action, Adventure, Sci-Fi",16 July 2010 (USA),https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt
8.8,The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,"Action, Adventure, Drama",19 December 2001 (USA),https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt
8.9,Pulp Fiction ,1994,2h 34min,"Crime, Drama",14 October 1994 (USA),https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt
8.8,Forrest Gump ,1994,2h 22min,"Drama, Romance",6 July 1994 (USA),https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt
8.8,Fight Club ,1999,2h 19min,"Drama, ",15 October 1999 (USA),https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt
8.7,The Lord of the Rings: The Two Towers ,2002,2h 59min,"Action, Adventure, Drama",18 December 2002 (USA),https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt
9.0,12 Angry Men ,1957,1h 36min,"Crime, Drama",10 April 1957 (USA),https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt
9.0,The Godfather: Part II ,1974,3h 22min,"Crime, Drama",18 December 1974 (USA),https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt
8.9,Schindler's List ,1993,3h 15min,"Biography, Drama, History",4 February 1994 (USA),https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt
9.0,The Dark Knight ,2008,2h 32min,"Action, Crime, Drama",18 July 2008 (USA),https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt
8.9,The Lord of the Rings: The Return of the King ,2003,3h 21min,"Action, Adventure, Drama",17 December 2003 (USA),https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt
9.2,The Godfather ,1972,2h 55min,"Crime, Drama",24 March 1972 (USA),https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt
